CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
19538,55,Male,48,5,4,6,Standard,Annual,476,27,1
18782,64,Female,56,9,3,7,Basic,Annual,885,4,0
63508,28,Female,52,12,0,27,Premium,Monthly,225,17,1
51040,19,Male,58,16,9,29,Basic,Annual,164,8,1
23570,45,Male,41,7,8,0,Premium,Monthly,992,29,0
19301,22,Female,36,29,5,9,Basic,Quarterly,713,1,0
19372,30,Female,17,25,10,7,Standard,Monthly,790,5,0
7019,35,Male,9,25,7,6,Standard,Quarterly,903,8,0
44873,33,Female,25,10,1,24,Standard,Annual,605,23,0
56761,52,Female,57,7,1,25,Basic,Monthly,679,13,1
43693,34,Male,37,22,9,12,Basic,Quarterly,260,7,0
20476,62,Female,15,26,2,18,Premium,Monthly,391,18,0
38112,35,Female,50,12,5,28,Standard,Quarterly,384,28,1
63281,42,Female,51,5,3,30,Premium,Monthly,597,6,1
64358,48,Male,29,4,9,21,Basic,Quarterly,342,22,1
25005,56,Female,22,8,6,19,Basic,Quarterly,898,10,0
27469,26,Female,53,8,10,1,Standard,Annual,540,1,0
14601,38,Female,23,28,8,10,Premium,Quarterly,827,11,0
21151,27,Male,32,19,4,2,Premium,Quarterly,433,26,0
46187,27,Female,57,2,10,16,Standard,Annual,640,25,1
59731,36,Male,33,17,8,22,Standard,Monthly,587,2,1
41209,50,Female,40,11,4,30,Premium,Annual,914,25,0
24420,37,Male,21,18,3,6,Standard,Monthly,168,22,0
37492,50,Female,37,1,6,6,Basic,Monthly,608,25,0
27678,64,Female,45,10,10,11,Basic,Monthly,474,6,0
53353,61,Female,53,12,2,23,Premium,Quarterly,330,26,1
39023,61,Male,18,15,1,7,Premium,Quarterly,849,5,0
26357,61,Female,51,6,10,6,Standard,Quarterly,331,3,0
55352,30,Male,27,30,6,19,Premium,Annual,170,30,1
6105,26,Female,53,23,1,4,Standard,Quarterly,281,19,0
366,56,Female,30,24,7,10,Standard,Monthly,862,7,0
59039,26,Female,55,10,0,28,Basic,Annual,356,7,1
13131,25,Male,18,10,5,8,Basic,Quarterly,764,16,0
34566,36,Female,42,24,9,13,Premium,Annual,135,17,0
42722,44,Male,15,28,3,16,Standard,Annual,776,14,0
24805,27,Female,55,30,2,15,Basic,Annual,543,11,0
927,29,Male,26,4,6,21,Basic,Quarterly,528,8,1
29859,18,Male,58,26,5,1,Premium,Quarterly,163,24,0
9792,23,Male,16,23,1,28,Premium,Annual,417,17,0
62410,18,Male,35,26,10,30,Basic,Quarterly,269,28,1
37788,29,Female,54,27,7,6,Basic,Annual,786,7,0
36918,54,Female,60,24,6,28,Basic,Monthly,222,5,1
31129,24,Female,31,15,10,11,Basic,Monthly,759,22,0
58964,37,Male,48,24,8,16,Basic,Monthly,247,30,1
59154,23,Female,19,5,7,22,Premium,Annual,272,2,1
23165,35,Female,35,27,6,2,Standard,Quarterly,400,14,0
40455,36,Female,13,14,3,4,Standard,Annual,878,15,0
61270,61,Male,26,21,5,18,Standard,Annual,272,27,1
16569,29,Female,23,26,9,0,Premium,Monthly,785,1,0
27538,60,Female,55,13,10,12,Premium,Quarterly,536,15,0
40032,37,Female,30,24,9,7,Standard,Quarterly,556,16,0
21867,28,Female,36,1,6,9,Basic,Quarterly,161,3,0
33700,42,Female,34,1,8,14,Premium,Monthly,858,15,0
27300,43,Female,12,5,4,9,Standard,Annual,453,30,0
6817,51,Female,23,21,10,8,Standard,Quarterly,508,1,0
21866,48,Female,48,16,4,7,Standard,Quarterly,103,9,0
59394,44,Female,16,2,10,27,Premium,Monthly,884,8,1
63531,53,Male,11,2,7,13,Basic,Annual,605,12,1
3461,26,Female,57,26,9,30,Standard,Monthly,255,8,1
55847,34,Female,4,22,0,25,Premium,Monthly,254,22,1
45642,51,Female,27,2,7,0,Premium,Quarterly,184,28,1
27254,63,Female,45,6,8,5,Standard,Monthly,503,12,0
10361,36,Female,59,8,3,8,Standard,Monthly,781,22,0
39769,52,Female,55,26,8,0,Basic,Quarterly,875,23,0
12279,59,Female,40,22,7,23,Premium,Annual,109,15,1
13753,38,Male,27,6,8,26,Basic,Annual,177,23,1
29492,64,Male,56,24,8,13,Standard,Monthly,813,22,0
56530,27,Male,52,20,6,24,Basic,Annual,563,9,1
46566,47,Male,47,28,6,18,Premium,Quarterly,899,29,1
44955,64,Male,35,23,6,6,Standard,Monthly,237,2,0
9856,60,Male,25,13,3,5,Standard,Annual,551,17,0
50279,52,Female,25,7,4,21,Standard,Monthly,931,9,1
52534,38,Female,47,17,10,30,Premium,Quarterly,506,20,1
24440,24,Male,36,10,4,21,Basic,Quarterly,179,7,0
35756,63,Female,17,7,9,6,Basic,Annual,118,30,0
44733,20,Female,31,1,1,24,Standard,Monthly,436,14,1
2809,56,Female,24,10,0,30,Standard,Monthly,160,5,1
36488,21,Male,47,3,4,24,Basic,Annual,292,28,0
18026,54,Male,28,6,9,30,Premium,Annual,490,23,1
19945,59,Male,50,9,7,13,Standard,Quarterly,726,3,0
3482,41,Male,48,5,7,15,Standard,Monthly,694,20,0
16896,34,Female,2,17,2,27,Basic,Annual,377,12,1
29449,49,Male,51,8,5,8,Standard,Annual,386,5,0
38856,35,Female,18,21,2,10,Basic,Monthly,503,18,0
48207,61,Female,26,16,10,26,Standard,Annual,820,21,1
36005,21,Male,19,30,7,23,Premium,Quarterly,909,6,0
1510,50,Female,4,20,10,21,Premium,Quarterly,705,2,0
28540,34,Male,13,17,4,11,Premium,Quarterly,746,7,0
47706,65,Male,25,2,5,29,Premium,Annual,620,11,1
10488,49,Female,23,9,4,4,Basic,Quarterly,471,10,0
29980,39,Male,40,11,6,4,Basic,Monthly,428,15,0
32114,59,Male,42,19,5,19,Basic,Quarterly,802,27,1
27605,34,Female,15,13,2,16,Premium,Quarterly,842,10,0
26478,41,Male,54,28,5,4,Standard,Annual,249,4,0
49428,58,Female,7,12,4,24,Basic,Monthly,739,10,1
11241,62,Female,29,11,3,2,Premium,Annual,219,10,0
27595,31,Male,24,5,8,16,Standard,Annual,809,4,1
25627,48,Male,49,25,1,6,Basic,Monthly,110,21,0
38404,22,Male,7,3,0,25,Premium,Annual,166,19,0
57588,54,Male,26,11,7,26,Premium,Annual,588,23,1
47391,60,Female,52,20,10,21,Standard,Monthly,259,2,1
36936,53,Female,46,19,4,26,Basic,Annual,344,26,1
15179,60,Female,20,10,7,1,Basic,Quarterly,120,14,0
22400,21,Female,10,24,1,5,Standard,Quarterly,527,16,0
53590,53,Female,35,13,5,18,Standard,Monthly,849,26,1
4700,59,Female,14,9,10,30,Basic,Quarterly,154,11,1
26133,21,Male,20,10,8,12,Standard,Quarterly,107,17,0
11205,46,Female,5,23,10,27,Basic,Annual,376,4,1
33089,44,Male,15,12,5,9,Basic,Annual,328,19,0
4592,25,Female,24,23,7,23,Standard,Annual,552,5,1
52241,55,Male,44,2,9,14,Basic,Monthly,976,29,1
42743,43,Female,44,11,10,7,Standard,Annual,523,27,0
44589,45,Male,23,19,1,6,Premium,Annual,723,1,0
50379,65,Male,34,3,5,21,Basic,Annual,887,25,1
54350,47,Female,2,10,2,25,Basic,Annual,259,5,1
21340,52,Female,20,2,10,18,Premium,Quarterly,765,16,1
44607,48,Female,36,29,3,13,Standard,Annual,327,8,0
60976,56,Male,35,20,9,27,Premium,Monthly,978,6,1
32611,62,Female,22,17,3,21,Premium,Annual,577,14,0
3651,49,Female,30,14,1,5,Premium,Monthly,392,16,0
17411,40,Male,41,9,8,10,Premium,Quarterly,482,29,0
23185,31,Male,34,20,1,21,Premium,Quarterly,975,24,0
18943,62,Male,42,26,5,3,Basic,Quarterly,231,15,0
3051,26,Male,19,22,7,6,Standard,Annual,466,5,0
19064,62,Male,3,1,0,16,Premium,Quarterly,798,14,0
22226,18,Male,2,4,1,4,Premium,Quarterly,366,12,0
60180,63,Male,44,5,5,22,Basic,Annual,538,11,1
20777,28,Male,44,22,5,20,Standard,Annual,546,29,1
3557,21,Male,6,27,10,20,Premium,Monthly,378,27,0
63264,29,Female,28,30,8,29,Basic,Quarterly,331,15,1
57080,61,Female,30,16,8,28,Premium,Quarterly,804,13,1
